,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
909,Smashing Pumpkins,Disarm,0.527,0.418,4,-10.205,0,0.0277,0.142,0.775,0.139,0.218,129.516,audio_features,6YIggUJW3ttAAPRdnki8RM,spotify:track:6YIggUJW3ttAAPRdnki8RM,https://api.spotify.com/v1/tracks/6YIggUJW3ttAAPRdnki8RM,https://api.spotify.com/v1/audio-analysis/6YIggUJW3ttAAPRdnki8RM,196905,4
910,Donna Summer,State Of Independence,0.747,0.696,4,-8.696,1,0.177,0.182,0.0574,0.0616,0.875,169.502,audio_features,3mZ6PVxWBhCycZxeEJQDNs,spotify:track:3mZ6PVxWBhCycZxeEJQDNs,https://api.spotify.com/v1/tracks/3mZ6PVxWBhCycZxeEJQDNs,https://api.spotify.com/v1/audio-analysis/3mZ6PVxWBhCycZxeEJQDNs,351493,4
911,Harry Styles,Late Night Talking,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,audio_features,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955,4
912,The Gathering,Strange Machines (Albumversie),0.228,0.85,0,-6.23,1,0.0489,0.00223,0.00136,0.056,0.391,130.566,audio_features,51m9kUkrbufdmMl4ZBHcgR,spotify:track:51m9kUkrbufdmMl4ZBHcgR,https://api.spotify.com/v1/tracks/51m9kUkrbufdmMl4ZBHcgR,https://api.spotify.com/v1/audio-analysis/51m9kUkrbufdmMl4ZBHcgR,364693,4
913,Normaal,De Boer Dat Is De Keerl,0.476,0.53,0,-11.149,1,0.0505,0.401,0.0,0.0957,0.587,87.246,audio_features,6gbUoTaJeig8Kz7Yx9osgm,spotify:track:6gbUoTaJeig8Kz7Yx9osgm,https://api.spotify.com/v1/tracks/6gbUoTaJeig8Kz7Yx9osgm,https://api.spotify.com/v1/audio-analysis/6gbUoTaJeig8Kz7Yx9osgm,215027,4
914,Racoon,Tijd Verliezen,0.26,0.429,6,-7.747,1,0.0346,0.857,0.00272,0.098,0.263,183.601,audio_features,6tcCTgpI1JWsgReB9ttSUD,spotify:track:6tcCTgpI1JWsgReB9ttSUD,https://api.spotify.com/v1/tracks/6tcCTgpI1JWsgReB9ttSUD,https://api.spotify.com/v1/audio-analysis/6tcCTgpI1JWsgReB9ttSUD,236352,4
915,Nena & Kim Wilde,"Anyplace, Anywhere, Anytime",0.635,0.794,4,-11.597,0,0.0403,0.0191,0.827,0.18,0.529,159.017,audio_features,2PaWWv6mu8T0bpq07nrhI2,spotify:track:2PaWWv6mu8T0bpq07nrhI2,https://api.spotify.com/v1/tracks/2PaWWv6mu8T0bpq07nrhI2,https://api.spotify.com/v1/audio-analysis/2PaWWv6mu8T0bpq07nrhI2,255399,4
916,Within Temptation,Faster,0.505,0.932,6,-2.894,0,0.0412,0.00115,0.000195,0.135,0.486,120.008,audio_features,4XBtYPGMAYJkuJu2w4pmYl,spotify:track:4XBtYPGMAYJkuJu2w4pmYl,https://api.spotify.com/v1/tracks/4XBtYPGMAYJkuJu2w4pmYl,https://api.spotify.com/v1/audio-analysis/4XBtYPGMAYJkuJu2w4pmYl,263973,4
917,Survivor,Eye Of The Tiger,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,audio_features,2HHtWyy5CgaQbC7XSoOb0e,spotify:track:2HHtWyy5CgaQbC7XSoOb0e,https://api.spotify.com/v1/tracks/2HHtWyy5CgaQbC7XSoOb0e,https://api.spotify.com/v1/audio-analysis/2HHtWyy5CgaQbC7XSoOb0e,243773,4
918,Post Malone,Circles,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,21jGcNKet2qwijlDFuPiPb,spotify:track:21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,215280,4
919,Iggy Pop,The Passenger,0.498,0.889,0,-5.413,1,0.0546,0.0947,1.62e-06,0.733,0.696,134.88,audio_features,15BQ7vEDv2LJuh8TxWIhtd,spotify:track:15BQ7vEDv2LJuh8TxWIhtd,https://api.spotify.com/v1/tracks/15BQ7vEDv2LJuh8TxWIhtd,https://api.spotify.com/v1/audio-analysis/15BQ7vEDv2LJuh8TxWIhtd,283360,4
920,Daniël Lohues,Prachtig Mooie Dag,0.553,0.686,9,-4.439,1,0.033,0.0979,0.0,0.0751,0.562,103.053,audio_features,6M2X1TbhTk6XkNqrS7ql8m,spotify:track:6M2X1TbhTk6XkNqrS7ql8m,https://api.spotify.com/v1/tracks/6M2X1TbhTk6XkNqrS7ql8m,https://api.spotify.com/v1/audio-analysis/6M2X1TbhTk6XkNqrS7ql8m,160773,4
921,Bruce Springsteen,The Rising,0.499,0.761,10,-6.381,1,0.0324,0.0655,0.0,0.0895,0.326,110.186,audio_features,2czBvzOv3TvnyoW7Ozo7fP,spotify:track:2czBvzOv3TvnyoW7Ozo7fP,https://api.spotify.com/v1/tracks/2czBvzOv3TvnyoW7Ozo7fP,https://api.spotify.com/v1/audio-analysis/2czBvzOv3TvnyoW7Ozo7fP,287040,4
922,Soft Cell,Tainted Love,0.542,0.45,7,-9.931,0,0.0361,0.558,6.43e-06,0.579,0.626,144.437,audio_features,58E1XVmZTODC67YNjneuXM,spotify:track:58E1XVmZTODC67YNjneuXM,https://api.spotify.com/v1/tracks/58E1XVmZTODC67YNjneuXM,https://api.spotify.com/v1/audio-analysis/58E1XVmZTODC67YNjneuXM,153840,4
923,De Jeugd Van Tegenwoordig,Watskeburt?!,0.946,0.491,1,-7.931,1,0.231,0.00521,0.0,0.226,0.586,130.029,audio_features,2Oaq2Q6JFS1xIXGL9TVryY,spotify:track:2Oaq2Q6JFS1xIXGL9TVryY,https://api.spotify.com/v1/tracks/2Oaq2Q6JFS1xIXGL9TVryY,https://api.spotify.com/v1/audio-analysis/2Oaq2Q6JFS1xIXGL9TVryY,375973,4
924,Michael Jackson,Ben,0.435,0.161,5,-10.84,1,0.0298,0.911,0.000214,0.113,0.291,136.166,audio_features,0ZFqB9g2FujbmMSrjqsL3j,spotify:track:0ZFqB9g2FujbmMSrjqsL3j,https://api.spotify.com/v1/tracks/0ZFqB9g2FujbmMSrjqsL3j,https://api.spotify.com/v1/audio-analysis/0ZFqB9g2FujbmMSrjqsL3j,167387,4
925,John Mayer,Daughters,0.674,0.413,2,-7.816,1,0.0274,0.836,1.95e-05,0.098,0.503,124.893,audio_features,5FPnjikbwlDMULCCCa6ZCJ,spotify:track:5FPnjikbwlDMULCCCa6ZCJ,https://api.spotify.com/v1/tracks/5FPnjikbwlDMULCCCa6ZCJ,https://api.spotify.com/v1/audio-analysis/5FPnjikbwlDMULCCCa6ZCJ,237907,3
926,Chi Coltrane,Go Like Elijah,0.631,0.716,3,-10.233,1,0.0369,0.264,0.00329,0.133,0.624,134.614,audio_features,1qQuFpzkuvHASXCuW28DFJ,spotify:track:1qQuFpzkuvHASXCuW28DFJ,https://api.spotify.com/v1/tracks/1qQuFpzkuvHASXCuW28DFJ,https://api.spotify.com/v1/audio-analysis/1qQuFpzkuvHASXCuW28DFJ,240707,4
927,Shocking Blue,Venus,0.691,0.762,11,-6.47,0,0.0367,0.462,0.0286,0.0804,0.957,128.111,audio_features,0Z3xhSOhrawLV81YdiDiiJ,spotify:track:0Z3xhSOhrawLV81YdiDiiJ,https://api.spotify.com/v1/tracks/0Z3xhSOhrawLV81YdiDiiJ,https://api.spotify.com/v1/audio-analysis/0Z3xhSOhrawLV81YdiDiiJ,187533,4
928,Gloria Gaynor,I Will Survive,0.77,0.775,9,-9.571,0,0.0495,0.0227,0.00262,0.297,0.802,116.935,audio_features,7rIovIsXE6kMn629b7kDig,spotify:track:7rIovIsXE6kMn629b7kDig,https://api.spotify.com/v1/tracks/7rIovIsXE6kMn629b7kDig,https://api.spotify.com/v1/audio-analysis/7rIovIsXE6kMn629b7kDig,296107,4
